《标准日本语》 中级 上册

第1课
麻雀 (マージャン) (0)	[名] 麻将
囲碁 (いご) (1)	[名] 围棋
将棋 (しょうぎ) (0)	[名] 象棋
パチンコ (0)	[名] 弹钢球
ビリヤード (3)	[名] 台球
ボーリング (0)	[名] 地滚球游戏


第10课
词汇Ⅰ
土台 (どだい) (0)	[名] 基础
共通語 (きょうつうご) (0)	[名] 普通话，通用语言
全国 (ぜんこく) (1)	[名] 全国
通用する (つうようする) (0)	[动3] 通用
一方で (いっぽうで) (3)	[接续] 另一方面
独特 (どくとく) (0)	[形动] 独特
方言 (ほうげん) (3)	[名] 方言
つながり (0)	[名] 联系
味わい (あじわい) (0)	[名] 情趣
生まれ育つ (うまれそだつ) (5)	[动1] 生养
愛着 (あいちゃく) (0)	[名] 眷恋
短歌 (たんか) (1)	[名] 短歌
ふるさと (2)	[名] 故乡
停車場 (ていしゃば) (0)	[名] 停车场
わざわざ (1)	[副] 特意，特地
故郷 (こきょう) (1)	[名] 故乡
離れる (はなれる) (3)	[动2] 离开，离别
中心 (ちゅうしん) (0)	[名] 中心
乗り降りする (のりおりする) (2)	[动3] 上下 (车)
生まれ故郷 (うまれこきょう) (4)	[名] 故土
指定席 (していせき) (2)	[名] 对号入座
つまり (1)	[接续] 也就是
縮める (ちぢめる) (0)	[动2] 缩短
やっぱり (3)	[副] 毕竟还是
石川啄木 (いしかわたくぼく) (0)	[专] 石川啄木
岩手県 (いわてけん) (3)	[专] 岩手县
上越 (じょうえつ) (0)	[专] 上越
青森 (あおもり) (2)	[专] 青森
ねぶた祭り (ねぶたまつり) (4)	[专] 倭武多节
関西 (かんさい) (1)	[专] 关西
～県 (けん)	～席 (せき)	…てよかった	
甲とは乙のことだ / 甲というのは乙のことだ	～と言えば, …
疑问词+…ても, …	…て	
…ですって / だって		

词汇Ⅱ
アクセサリー (1)	[名] 首饰
飾り (かざり) (0)	[名] 装饰品
画家 (がか) (0)	[名] 画家
地面 (じめん) (1)	[名] 地面
鉄道 (てつどう) (0)	[名] 铁路
ガソリンスタンド (6)	[名] 加油站
テレビ局 (テレビきょく) (3)	[名] 电视台
虫 (むし) (0)	[名] 虫，虫子
丸い (まるい) (0)	[形] 圆，球形的
やはり (2)	[副] 毕竟还是
通訳 (つうやく) (1)	[名] 翻译
残らず (のこらず) (2)	[词组] 全部，统统
たっぷり (3)	[副] 足够，很多


第11课
词汇Ⅰ
歩き続ける (あるきつづける) (6)	[动2] 持续步行
結ぶ (むすぶ) (0)	[动1] 连接
街道 (かいどう) (0)	[名] 交通要道
整備する (せいびする) (1)	[动3] 备齐，铺设
交通量 (こうつうりょう) (4)	[名] 交通量，通行量
街道沿い (かいどうそい) (0)	[名] 沿路
にぎわう (3)	[动1] 热闹
距離 (きょり) (1)	[名] 距离
およそ (0)	[名] 大约
当時 (とうじ) (1)	[名] 当时
大人 (おとな) (0)	[名] 大人
日数 (にっすう) (3)	[名] 天数
どうしても (4)	[词组] 无论如何
スピード (0)	[名] 速度
誇る (ほこる) (2)	[动1] 自豪，骄傲
到着する (とうちゃくする) (0)	[动3] 到达
わずか (1)	[副] 仅仅，仅有
日帰り (ひがえり) (0)	[名] 当天返回
出張する (しゅっちょうする) (0)	[动3] 出差
