《标准日本语》 初级 下册

第26课
猿 (さる) (1)	[名] 猴子
蛇 (へび) (1)	[名] 蛇
草 (くさ) (2)	[名] 草
松 (まつ) (1)	[名] 松树
竹 (たけ) (0)	[名] 竹子
梅 (うめ) (0)	[名] 梅树，梅花
菊 (きく) (2)	[名] 菊花
負ける (まける) (0)	[动2] 输
間違う (まちがう) (3)	[动1] 错，弄错
大事だ (だいじだ) (3)	[形动] 重要，珍贵


第42课
词汇Ⅰ
手伝う (てつだう) (3)	[动1] 帮忙
春休み (はるやすみ) (3)	[名] 春假
焼く (やく) (0)	[动1] 烤，烧
サラダ (1)	[名] 色拉，凉拌菜
学年 (がくねん) (0)	[名] 学年
なるべく (0)	[副] 尽可能
終業 (しゅうぎょう) (0)	[名] 结业
配る (くばる) (2)	[动2] 发，分送
国語 (こくご) (0)	[名] 国语，语文
算数 (さんすう) (3)	[名] 算术，数学
理科 (りか) (1)	[名] 理科 (自然、化学、物理等)
家庭科 (かていか) (0)	[名] 家庭课
裁縫 (さいほう) (0)	[名] 裁缝，缝纫
日常 (にちじょう) (0)	[名] 日常
必要だ (ひつようだ) (0)	[形动] 必要
体験 (たいけん) (0)	[名] 体验，体会
実際 (じっさい) (0)	[名] 实际
知識 (ちしき) (1)	[名] 知识
道徳 (どうとく) (0)	[名] 道德
生命 (せいめい) (1)	[名] 生命
友情 (ゆうじょう) (0)	[名] 友情，友谊
平和 (へいわ) (0)	[名] 和平
大切さ (たいせつさ) (0)	[名] 重要，宝贵
成長する (せいちょうする) (0)	[动3] 成长
見かける (みかける) (0)	[动2] 看见，发现
